Hospital_Names,Addresses,Category,Contact_Info
"Gemarino Hospital Kauswagan,","Diplahan Zamboanga Sibugay, Philippines",Level 1/ Primary,
Amoroso Medical Clinic,"National Highway, Poblacion, Imelda, Zamboanga Sibugay, Philippines",Level 1/ Primary,0909-3287666
UPH - Dr. Jose G. Tamayo Medical Center,"National Highway, Sto. Niño, Biñan, Laguna",Level 4/Specialty,(049) 511-8959
Concepcion District Hospital,"Brgy. Alfonso, Concepcion, Tarlac, Philippines",Level 2/ Secondary,045-9230852/0642
Our Lady of Piat Polyclinic & Hospital,"Blk. 11 Lot 13, South City Drive, Biñan, Laguna",Level 1/Primary,
Los Baños Doctors Hospital,"Brgy. Batong Malake, Los Baños, Laguna",Level 3/Tertiary,(049) 536-1225/1825
St. Jude Family Hospital,"Lopez Ave., Batong Malake, Los Baños, Laguna",Level 2/Secondary,(049) 536-1982 / 827-0283
HealthServ Los Baños Hospital and Medical Center,"8817 National Highway, Brgy. Batong Malaki, Los Baños, Laguna",Level 1/Primary,(049) 536-8501
Paete General Hospital,"J.P. Rizal Street, Quinale, Paete, Laguna",Level 2/Secondary,(049) 817-0392 / 557-9995
St. Michael General Hospital,Bacacay Albay,Level 1/Primary,052-4846284
Ludovice General Hospital,Daraga Albay,Level 2/Secondary,052-4834649
Gata General Hospital,"Gen. Simeon Ola St., Guinobatan, Albay",Level 1/Primary,052-8380869
Kabasalan General Hospital,"Santa Cruz, Kabasalan Zamboanga Sibugay, Philippines",Level 1/Primary,0917-7111632
Retuerma General Hospital,"Rizal St., Guinobatan, Albay",Level 1/Primary,920-7002213
Danao-Sale Medical Clinic,"Crossing Sta Clara, Naga, Zamboanga Sibugay, Philippines",Level 1/ Primary,
Lianko's Medical Clinic,"Malinao, Albay",Level 1/Primary,052-4884000
Saint John General Hospital,"Buug, Zamboanga Sibugay, Philippines",Level 2/ Secondary,
Dr. Manuel R. Rebueno Memorial Hospital,"Iraya Sur, Oas, Albay",Level 1/Primary,052-4856427
Christian General Hospital,"564 A.Mabini, Pagsanjan, Laguna",Level 2/Secondary,(049) 808-4051
Lumbis-Rances General Hospital,"Ilao Sur, Oas, Albay",Level 2/Secondary,052-4856209
Romeo B. Sibud County Hospital,"Poblacion, Titay, Zamboanga Sibugay, Philippines",Level 1/Primary,9359581809
"Pagsanjan Medical Clinic, Inc.","Brgy. Sampalocan, Pagsanjan, Laguna",Level 2/Secondary,(049) 501-4882
Pathfinder Estate Hospital,"Kabasalan, Zamboanga Sibugay, Philippines",Level 1/ Primary,062-3282217
Dr. Erlinda B. Estanislao Memorial Hospital,"Pavia Blvd., Pio Duran, Albay",Level 1/Primary,(052) 540-0481
Lanceta Medical Hospital,"National Highway, Poblacion, Imelda Zamboanga Sibugay, Philippines",Level 1/ Primary,0927-5003855
Zapanta General Hospital,"Banawan, Pioduran, Albay",Level 2/Secondary,
"Divine Mercy Hospital, Inc.","L9/10 Amante Subd., Brgy. Nueva, San Pedro, Laguna",Level 2/Secondary,(049) 808-3448
Isip General Hospital,"Gabon, Polangui, Albay",Level 1/Primary,(052) 835-0421
"Evangelista Medical Specialty Hospital, Inc.","L9/10 Amante Subd., Brgy. Nueva, San Pedro, Laguna",Level 2/Secondary,(049) 808-3448
Basilan Community Hospital,"Aguada, Isabela City, Philippines",Level 2/ Secondary,2003273
G. Gonzales Medical Clinic,"Brgy. Naga, Tiwi, Albay",Level 1/Primary,052-4885045
Family Care Hospital,"Macaria Ave., Pacita 1, San Pedro, Laguna",Level 2/Secondary,(049) 808-4897
Infante Hospital Management Corporation,"Carlos P. Garcia Street, Isabela City , Philippines",Level 2/ Secondary,2007426
"San Pedro Doctors Hospital, Inc.","National Highway, Landayan, San Pedro, Laguna",Level 2/Secondary,02-8681962-64
Laguna Holy Family Hospital,"1864 J. De Leon St., Sta.Cruz, Laguna",Level 2/Secondary,(049) 808-1911
"Sta. Cruz Laguna Polymedic, Inc.","780 National Highway, Patimbao, Sta. Cruz, Laguna",Level 2/Secondary,(049) 810-4309
"Laguna Doctors Hospital, Inc.","P. Guevarra St., Sta. Cruz, Laguna",Level 2/Secondary,(049) 808-0548/4094
Jesus the Savior Hospital,"St. Angel Central, Sta. Cruz, Laguna",Level 2/Secondary,(049) 810-0748
New Sinai MDI Hospital,"National Highway, Tagapo, Sta. Rosa City, Laguna",Level 3/Tertiary,(049) 838-1281 / 534-3499
Southern Luzon Hospital and Medical Center,"Greenfield Ave., Don Jose, Sta. Rosa City, Laguna",Level 3/Tertiary,(049) 544-0120/0130/0125
"Zamboanga Childrens Hospital, Inc","Pilar Street, Zamboanga City, Philippines",Level 2/ Secondary,062-9913870
"Balibago Polyclinic and Hospital, Inc.","Provincial Road, Balibago, Sta. Rosa City, Laguna",Level 2/Secondary,(049) 534-1591 / 837-2879
Dr. Bernardo B. Corral Memorial Hospital,"San Lorenzo St. Tiwi, Albay",Level 1/Primary,052-8885553
Zamboanga Puericulture Center Maternity Lying-in Hospital,"Pura, Brillantes Street, Zamboanga City, Philippines",Level 2/ Secondary,062-9910379
Dr. Amando D. Cope Memorial Hospital,"Ruivivar St., Tayhi, Tabaco, Albay",Level 2/Secondary,052-8301334
Cabredo General Hospital,"Moses St. Tabaco City, Albay",Level 2/Secondary,052-4877072
Jaime B. Berces Memorial Hospital,"V. Demetriou St., Tabaco, Albay",Level 2/Secondary,052-8301160
Edwin Andrews Airbase Hospital,"Sta. Maria, Zamboanga City, Philippines",Level 1/ Primary,
Rico's Hospital,"Berces St., Tabaco City, Albay",Level 1/Primary,052-2577153
Tabaco College Hospital,"Tomas Cabiles Avenue, Tabaco City",Level 2/Secondary,052-4875443
Camp Navarro General Hospital,"Upper Calarian, WESTMIINCOM, Zamboanga City, Philippines",Level 2/ Secondary,9931204
St. James Hospital,"Mariquita Pueblo, Brgy. Dita, Sta. Rosa City, Laguna",Level 3/Tertiary,(049) 837-6996
Dr. Sofronio B. Garcia Memorial Hospital,"Ligao, Ligao City",Level 1/Primary,052-4311398
Perpetual Help Clinic,"Bunao, Ligao, Albay",Level 1,052-8370875
Mindanao Central Sanitarium,"Pasobolong, Zamboanga City, Philippines",Level1/ Primary,9262491
Estevez Memorial Hospital Inc.,Estevez St. Guevarra Subd. Legaspi City,Level 3/Tertiary,052-2455031
Tanchuling Hospital,"Imperial Court Subd., Phase II, Legaspi City, Albay",Level 3/Tertiary,052-8202913
"Aquinas University Hospital, Foundation, Inc.","Washington Drive, Legaspi City",Level 3/Tertiary,052-4810331
Labuan Public Hospital,"Labuan, Zamboanga City, Philippines",Level 1/ Primary,9260259
Ago General Hospital,"Rizal St., Legaspi City",Level 3/Tertiary,052-8201971
Dr. Esteban V. Ante Memorial Hospital,"573 Rizal St., Brgy. 18, Legaspi City, Albay",Level 1/Primary,052-2455632
Albay Doctors Hospital,"Peñaranda St., Legazpi City",Level 3/Tertiary,(052) 480-7838/480-7848
Zamboanga City Medical Center,"Dr. Evangelista Street, Zamboanga City, Philippines",Level 4/ Specialty,9912934/9920052/9920154
Leon D. Hernandez Memorial Hospital,1328 Dasmarinas St. Daet Camarines Norte,Level 3/Tertiary,054-4401406
Our Lady Of Lourdes Hospital,"Lourdes Hospital Road, Iriga City,",Level 3/Tertiary,054-7212664
Santissima Trinidad Hospital Of Daet,"Diversion Road, Camambugan, Daet, Camarines Norte",Level 3/Tertiary,(054) 571-2788
Sto. Nino Hospital,"Mercedes Road, Daet, Camarines Norte",Level 3/Tertiary,054-7211581
Dr. Miguel V. Alegre Hospital,"Burgos St., Labo, Camarines Norte",Level 1/Primary,(054) 585-2287
St. John The Apostle Hospital,"Villaflores St., Labo, Camarines Norte",Level 1,(054) 585-2166/054-5852036
Saint Jude Hospital of Labo,"Villaflores St., Labo, Camarines Norte",Level 1/Primary,054-5852287
Sta. Rosa Hospital and Medical,"RSBS Blvd., San Lorenzo South, Balibago, Sta. Rosa City, Laguna",Level 3/Tertiary,(049) 837-8408 / 02-5208421
Jose Panganiban Primary Hospital Services Coop,"North Poblacion, Jose Panganiban, Camarines Norte",Level 1/Primary,(054) 731-7960
Rosary of Virgin Mary Hospital,"M.Roxas St., Sta. Elena, Camarines Norte",Level 1/Primary,054-2013156
Dr. Robosa Hospital,"142 Sta. Cruz, Baao, Camarines Sur",Level 2/secondary,(054) 266-3011
St. Jude Clinic & Hospital,"120 Luneta St., Sta. Cruz, Baao, Camarines Sur",Level 1/Primary,054-2663029
St. Raphael Hospital,"San Nicolas, Baao, Camarines Sur",Level 1/Primary,(054) 266-3181
Baesa Advent Polyclinic & General Hospital,"238 Retiro Street, Baesa Road 1400, Kalookan City, Philippines",Level 1/ Primary,3302108
"St. John Hospital, Inc.","Panganiban Drive, Naga City, Camarines Sur",Level 3/Tertiary,054-8111554
St. John Hospital,"San Jose St., Goa, Camarines Sur",Level 2/Secondary,054-2663111
St. Vincent de Ferrer Hospital,"Rizal St., Goa, Camarines Sur",Level 1/Primary,054-4777078
Rinconada Medical Center,"Nabua, Camarines Sur",Level 2/Secondary,
"Marian Hospital of Sta. Rosa, Inc.","816-A National Rd., Brgy. Tagapo, Sta. Rosa City, Laguna",Level 2/Secondary,(049) 838-1952
Our Lady of Salvacion Clinic,"Sipocot, Camarines Sur",Level 1/Primary,054-4531442
"Community General Hospital of San Pable City, Inc.","C. Colago Avenue, San Pablo CIty, Laguna",Level 3/Tertiary,(049) 562-2035 / 562-1314
Dr. Nilo O. Roa Memorial Foundation Hospital,"424 Dimasalang St., Naga City, Camarines Sur",Level 2/Secondary,054-8115089
Sts. Francis and Paul General Hospital,"Farconville Subd., San Pablo City, Laguna",Level 2/Secondary,(049) 562-8097
Mother Seton Hospital,"Roxas Avenue, Diversion Road, Naga City, Camarines Sur",Level 4/Specialty,054-4724025
Lourdes Hospital,"San Roque, Iriga City, Camarines Sur",Level 2/Secondary,(054) 299- 2777
Our Lady Of Mediatrix Hospital,"San Jose, Iriga City, Camarines Sur",Level 2/Secondary,
Sta. Maria Josefa Foundation Hospital,"Francia, Iriga City, Camarines Sur",Level 2/Secondary,(054) 299-3101
Our Lady Of Fatima Hospital,"Bagong Bayan, Panganiban Catanduanes",Level 1/Primary,
Dr. A. P. Zantua Memorial Hospital,"Francia Street, Virac, Catanduanes",Level 2/Secondary,ca/~zantua/hospital/
Immaculate Heart Of Mary Hospital,E. Rafael St. Brgy. Rawis Virac Catanduanes,Level 2/Secondary,(052) 811-0580/82
"Good Samaritan Health Care System, Inc.","Burgos Avenue, Cabanatuan City, Nueva Ecija, Philippines",Level 3/ Tertiary,044-158285/4643969
Wesleyan University General Hospital and Cardiovascular Center,"Tandang Sora Street Corner Mabini Extension, Cabanatuan City, Nueva Ecija, Philippines",Level 3/ Tertiary,044-4634735
San Pablo Doctors Hospital,"55 A. Mabini St., San Pablo City, Laguna",Level 3/Tertiary,(049) 562-0998
St. Joseph Medical Clinic,"Poblacion, Dimasalang, Masbate",Level 1/Primary,(056) 333-4561
Dubongco's Medical Clinic,"Rosero St., Milagros, Masbate",Level 1/Primary,
"Immaculate Conception Hospital, Inc.","P. Alcantara Street, San Pablo City, Laguna",Level 2/Secondary,(049) 562-5132
Masbate Doctors Hospital,"Rosero St., Masbate City, Masbate",Level 2/Secondary,(056) 333-2103
St. Martin De Porres Medical Clinic,"Domingo St., Masbate",Level 1/Primary,(056) 333-2386
San Pablo Colleges Medical Center,"San Rafael, Maharlika Highway, San Pablo City, Laguna",Level 3/Tertiary,(049) 567-0726 / 562-0728 (fax)
Emil Joanna General Hospital,"147 Quezon Ct,. Atimonan, Quezon",Level 2/Secondary,(042) 316-5390 / 511-1092
Del Carmen Medical Clinic,"360 Pica St., Brgy. 5, Calauag, Quezon",Level 1/Primary,(042) 301-7156
St. Vincent Medical Clinic & Hospital,Masbate,Level 1/Primary,(056) 333-2375
"De Castro Hospital Foundation, Inc.","9 Fontelar St., Milagros, Masbate",Level 1/Primary,(056) 333-2675
St. Jude Medical Clinic,"Luna St., Bulan, Sorsogon",Level 1/Primary,(056) 411-1353
Bulusan Family Clinic,"Central Bulusan, Sorsogon",Level 1/Primary,(056) 311-0348
Sorsogon Medical Mission Group Hospital & Health Services Cooperative,"Bibincahan, Sorsogon City, Sorsogon",Level 3/Tertiary,(056) 211-1861/ 211-3042
St. Peter General Hospital,"Quezon St., Calauag, Quezon",Level 2/Secondary,(042) 301-2305/7834
"Sts. Peter & Paul Hospital, Inc.","612 Alegre St., Balogo, Sorsogon",Level 2/Second,
Sto. Niño Hospital,"Poblacion, Bustos, Bulacan, Philippines",Level 2/ Secondary,044-7662176/1646/9030327
"Peter Paul Medical Center of Candelaria, Inc.","Regidor St., Pob,. Candelaria, Quezon",Level 2/Secondary,(042) 585-4531 telefax / 741-1857
"St. Therese of The Child Jesus Hospital, Inc.","Jimenez St., Bacon, Sorsogon",Level 2/Secondary,
United Candelaria Doctors Hospital,"Brgy. Mangilag Sur, Candelaria, Quezon",Level 2/Secondary,(042) 585-2114
San Diego de Alcala General Hospital,"Aguinaldo St., cor. Tanada, Gumaca, Quezon",Level 2/Secondary,(042) 317-4829
Holy Rosary Hospital,"San Isidro St., Brgy. Talolong, Lopez, Quezon",Level 2/Secondary,(042) 302-5255
Bulacan Medical Mission Group Pharmacy and Hospital - Turo Branch,"Turo, Bocaue, Bulacan, Philippines",Level 2/ Secondary,044-6414502/6921237
"Dr. Yanga's Hospital, Inc","252 P. Burgos Street, Poblacion, Bocaue, Bulacan, Philippines",Level 2/ Secondary,044-6925307/9208289
Lopez St. Jude General Hospital Corp.,"Real St., Brgy. Burgos, Lopez, Quezon",Level 2/Secondary,(042) 302-5244 / 841-1015
Malolos San Vicente Hospital,"Caniogan, Mallolos City, Bulacan, Philippines",,
Lucban MMG Hospital,"38 Katipunan St., Lucban, Quezon",Level 2/Secondary,(042) 540-8312
"Jane County Hospital, Inc.","C.M. Recto, Brgy. Castillo, Pagbilao, Quezon",Level 2/Secondary,(042) 731-1295
Soler General Hospital,"Mabini St., Brgy. 6, Sariaya, Quezon",Level 1/Primary,(042) 651-1036
"Greg Hospital-Sariaya, Inc.","Gen. Luna St., Sariaya, Quezon",Level 2/Secondary,; (042) 651-1162 / 525-8487
"Arsenal ""Kalusugan"" Hospital","Camp Gen. Luna, Lamao, Limay, Bataan, Philippines",Level 2/ Secondary,047-2445624; 2444615
Maragusan Municipal Hospital,"Talisay St., Poblacion, Maragusan, Compostela Valley",Level 1/Primary,920-5639228
Bagac Community & Medicare Hospital,"Brgy. A Ricardo, Bagac, Bataan, Philippines",Level 1/ Primary,0917-8662868
Compostela Valley Provincial Hospital,"Compostela, Davao del Norte",Level 2/Secondary,(084) 299-1194
Jose C. Payumo Jr. Memorial Hospital,"San Ramon, Dinalupihan, Bataan, Philippines",Level 2/ Secondary,047-4811724; 4811536
Pantukan District Hospital,"Townsite, Pantukan, Compostela Valley",Level 1/Primary,084-3720335
"Liwag Medical Clinic, Inc.","1 Mayo St., Pob. II, Tiaong, Quezon",Level 2/Secondary,(042) 545-7672
Orani District Hospital,"Lourdes Street, Ma. Fe Subdivision, Orani, Bataan, Philippines",Level 2/ Secondary,047-4312827
Bataan Provincial Hospital,"Manahan Street, Tenejero, Balanga City, Bataan",Level 3/ Tertiary,047-2372269/3635 7915959/2857
Laak Municipal Hospital,"Laak, Compostela Valley Province",Level 1/Primary,
Carmen District Hospital,"Carmen, Davao del Norte",Level 1/Primary,084-6286592
St. Cecilia Hospital,"M. Castillo St., Tiaong, Quezon",Level 1/Primary,(042) 545-9217
Mariveles Mental Hospital,"P. Monroe Street, Poblacion, Mariveles, Bataan, Philippines",,9354612/4138
"Tayabas Community Hospital, Inc.","Brgy. Wakas, Tayabas, Quezon",Level 3/Tertiary,(042) 793-2216
Bataan Doctor's Hospital & Medical Center,"Cauderno St. Doña Francisca Subd., Balanga City, Bataan. Philippines",Level 2/ Secondary,047-2372050; 2370307
Dr. Erlinda P. Tolentino Medical Clinic and Hospital,"Ibabang Kalilayan, Unisan, Quezon",Level 1/Primary,(042) 549-8511
Bataan St. Joseph Hospital,"Don Manuel Banzon Avenue, Brgy. Doña Francisca, Balanga City, Bataan, Philippines",Level 3/ Tertiary,
Kapalong District Hospital,"Quezon St., Maniki, Kapalong",Level 2/Secondary,084-3710468
Mt. Carmel Dioscesan General Hospital,"Allarey Extension, Lucena City, Quezon",Level 3/Tertiary,(042) 710-2576 to 77 / 373-2025 to 26
Isaac & Catalina Medical Center,"Calero Street, Ibayo, Balanga City, Bataan, Philippines",Level 2/ Secondary,047-2371435; 2374003
Lucena MMG Genral Hospital,"Ibabang Dupay - Red V, Lucena City, Laguna",Level 3/Tertiary,(042) 373-5926
Samal District Hospital,"Peñaplata, Igacos",Level 1/Primary,0916-5562179
Bataan Peninsula Medical Center,"San Ramon, Dinalupihan, Bataan, Philippines",Level 2/ Secondary,047-2372043/4815969
Davao Regional Hospital,"Apokon Tagum City, Davao del Norte",Level 4/Specialty-DOH Retained,084-2173571
"Bataan Women's Hospital,Inc.","Sampaguita Street, St. Joseph Subdivision, Balanga City, Bataan, Philippines",Level 2/ Secondary,047-2374428; 237-1111
Maheseco Multipurpose Cooperative,"Lakandula Street, Poblacion, Mariveles, Bataan, Philippines",Level 2/ Secondary,047-9354192/4003/6743
Cateel District Hospital,"Road, Poblacion, Cateel, Davao Oriental",Level 1/Primary,0920-5639228
Orion St. Michael Hospital,"J.P. Rizal Street, Wakas, Orion, Bataan, Philippines",Level 2/ Secondary,047-2447331
Gov.Generoso Municipal Hospital,"Gov. Generoso, Davao Oriental",Level 1/Primary,087-8080122
Lupon District Hospital,"Townsite, Lupon, Davao Oriental",Level 2/Secondary,087-8080122
Manay District Hospital,"Bato, Sta. Maria, Manay, Davao Oriental",Level 1/Primary,0915-4357752
Sto. Rosario Maternity & Medical Clinic,"3 Rizal Street, Sta. Isabel, Dinalupihan, Bataan. Philippines",Level 1/ Primary,047-4811050
Lucena United Doctors Hospital and Medical Center,"Brgy. Isabang, Lucena City, Quezon",Level 3/Tertiary,(042) 373-6161
Davao Oriental Provincial Hospital,"Mati, Davao Oriental",Level 3/Tertiary,087-3883420
Castro Maternity Hospital,"M Ponce Street, Tibag, Baliaug, Bulacan, Philippines",Level 2/ Secondary,044-7661462/6026/7022
Tomas Lachica District Hospital,"Jose Abad Santos, Davao del Sur",Level 1/Primary,0920-3053617
De Jesus General Hospital,"#5 B.S. Aquino Avenue, Baliuag, Bulacan, Philippines",Level 2/ Secondary,044-7663062/7405/7040
Gregorio Matas District Hospital,"Kiblawan, Davao del Sur",Level 1/Primary,9205294
Bustos Community Hospital,"Hilario Street Poblacion, Bustos, Bulacan, Philippines",Level 1/ Primary,044-6171340
Malita District Hospital,"Malita, Davao del Sur",Level 1/Primary,
Sarangani Municipal Hospital,"Sarangani, Davao del Sur",Level 1/Primary,
Ospital ng Lungsod ng San Jose del Monte,"Bagong Buhay I, San Jose del Monte City, Bulacan, Philippines",Level 2/ Secondary,'09163121214
Davao Del Sur Provincial Hospital,"Lapu-lapu St., Digos City",Level 3/Tertiary,082-5532682
Southern Philippines Medical Center (Former Davao Medical Center),"J P Laurel Ave, Davao City",Level 4/Specialty-DOH Retained,082-2272731
Bulacan Medical Center,"Mojon, Malolos City, Bulacan, Philippines",Level 4/ Specialty,044-7910630/6622675
Camp Panacan Station Hospital,"Camp Panacan, Davao City",Level 1/Primary,082-2344166
St. James Hospital And Medical Clinic,"Compostela, Compostela Valley",Level 1/Primary,0917-7027653
Compostela Valley Hospital,"Compostela, Compostela Valley",Level 1/Primary,(084) 299-1194
Alaba Emergency Clinic And Hospital,"Maco, Compostela Valley",Level 1/Primary,
B.A. Hospital,"Saluysoy, Meycauayan, Bulacan, Philippines",,
Flordeliz Medical Clinic,"Nabunturan, Davao del Norte",Level 1/Primary,
Mawab Medical Clinic & Hospital,"20 Rizal St., Poblacion, Mawab",Level 1/Primary,0917-7197021
"Bulacan Polymedic Hospital, Inc.","113 Cagayan Valley Road, Guiguinto, Bulacan, Philippines",Level 2/ Secondary,044-6901731 / 7944881
"Nabunturan Doctors Hospital, Inc.","Nabunturan, Compostela Valley",Level 1/Primary,084-3760778
Babak Community Hospital,"Villarica, Babak, Island City of Samal",Level 1/Primary,0918-5845123
Divine Word Hospital,"San Pedro, Hagonoy, Bulacan, Philippines",Level 2/ Secondary,044-7930034
Carmen Medical Clinic,"Km. 35 Sto Nino, Carmen",Level 1/Primary,0919-3291963
Alegre Medical Clinic,"Kapalong, Davao Del Norte",Level 1/Primary,084-3710125
E.S. Garcia Hospital,"71 Malusak Street Sta. Ana, Bulacan, Philippines",level 1/ Primary,044-7920084
Salomon Mangilet Maternity And Medical Clinic,Kapalong Davao del Norte,Level 1/Primary,084-3710153
Bungabong-Sanico Medical Clinic And Maternity Hospital,"Crossing, Kinamayan, Sto.Tomas",Level 1/Primary,
F.M.Cruz Orthopedic & General Hospital,"DRT Highway, Pulilan, Bulacan, Philippines",Level 2/ Secondary,044-6761739
Espiritu Medical Clinic And Hospital,"FDR Road 2, Sto. Tomas",Level 1/Primary,(084) 829-0163
Estela Medical Clinic And Pharmacy,"Sto. Tomas, Davao del Norte",Level 1/Primary,084-8290054
"Marsman Estate Plantation, Inc. Medical Clinic/Hospital","Sto. Tomas, Davao del Norte",Level 1/Primary,084-8292101
Matutes Medical Clinic & Hospital,"Magsaysay Ave., Sto. Tomas",Level 1/Primary,084-8291482
"Grace Memorial Hospital Foundation, Inc.","3 Burol 2nd, Balagtas, Bulacan, Philippines",Level 2/ Secondary,044-6935208/6935782
Gubatan Clinic,"255, Burol 2nd, Balagtas, Bulacan, Philippines",Level 1/ Primary,044-6932468/6937423
Cainglet Medical Clinic,"2081 National Highway, Salvacion, Panabo City",Level 1/Primary,084-6285222
"Somoso General Hospital, Inc.","Panabo, Davao del Norte",Level 2/Secondary,084-6285263
Jesus of Nazareth Hospital,"19 MacArthur Highway,Poblacion, Guiguinto, Bulacan, Philippines",Level 1/ Primary,044-7941202
"Rivera Medical Center, Inc.","7302 Brgy. San Francisco, Panabo City",Level 3/Tertiary,084-6285234
Antonio O. Florendo Hospital,"Brgy. A. Florendo, Tadeco, Panabo City",Level 2/Secondary,084-2347711
Jesus the Good Shepherd Hospital,"National Road, Poblacion, Pulilan, Bulacan, Philippines",Level 2/ Secondary,044-7950055
Panabo Polymedic Hospital,"Quirino St., Panabo City",Level 2/Secondary,0917-5489862
Carmelite Hospital,"6599 National Highway, Bgy. San Francisco, Panabo City, Davao del Norte",Level 1/Primary,084-6285342
Kairos Maternity & General Hospital,"National Road, Muzon, San Jose del Monte City, Bulacan, Philippines",Level 2/ Secondary,044-6913113
Zafra Medical Clinic,"Gredo, Panabo City",Level 1/Primary,084-6286140
Bishop Joseph Reagan Memorial Hospital,"Christ the King Road, Tagum",Level 3/Tertiary,084-2182374
"Magpoc Maternity Hospital, Inc.","23 Ilang-ilang Street, Sta. Cruz, Guiguinto, Bulacan, Philippines",Level 1/ Primary,044-6902963
Malolos Maternity Hospital & Eye Center,"McArthur Highway, Malolos City, Bulacan, Philippines",Level 2/ Secondary,044-7911338 / 7916807
Malolos San Ildefonso County Hospital,"288 Lovely Street, Cañalate, Malolos, Bulacan, Philippines City",Level 2/ Secondary,044-7912982/4321; 6626073
Mmgh And Health Services Coop Of Tagum,"Visayan Village, Tagum Davao del Norte",Level 3/Tertiary,084-2173853
Mary Immaculate Maternity Hospital,"F.Estrella Street, Sto. Rosario, Malolos City, Bulacan, Philippines",Level 2/ Secondary,044-7917274; 6627274
Tagum Doctors Hospital,"Highway 54, RABE Subd., Tagum City",Level 3/Tertiary,084-2173775
"St. Anne General Hospital, Inc.","P. Gomez Ext., Brgy. Ibabang Dupay, Red V, Lucena City, Quezon",Level 3/Tertiary,(042) 710-2218 / 660-7850 / 710-5234 (fax)
"Mary The Queen Maternity & General Hospital Foundation, Inc","Sto. Niño, Plaridel, Bulacan, Philippines",Level 2/ Secondary,044-7950379
"United Doctor's Hospital Of Tagum , Inc.","Rizal Sobrecarey St., Tagum City",Level 2/Secondary,084-2173977
"Digos Doctors' Hospital, Inc.","Mc Arthur Highway, Digos City",Level 3/Tertiary,082-5533584
Mateo-Mabborang General Hospital,"Toma Cruz Street, Sto. Niño, Hagonoy, Bulacan, Philippines",,
"Gonzales Maranan Medical Center, Inc. (Formerly Gonzales-Maranan Clinic And Hospital, Inc.)","Quezon Avenue, Digos City",Level 3/Tertiary,082-5532474
"Dominican Hospital, Inc.","Quezon Ave., Digos City",Level 2/Secondary,082-5536925
Angono Medics Hospital,"Quezon Avenue, San Isidro, Angono, Rizal",Level 2/Secondary,451-2636
Llanos Hospital,"Roxas St., Digos City",Level 1/Primary,082-5532363
Pilar Medical and Maternity Clinic,"Quezon Avenue, San Isidro, Angono, Rizal",Level 1/Primary,651-0231
Masongsong Clinic,"2805 Gen. del Pilar St.,Digos City",Level 1/Primary,082-5532625
San Isidro Hospital,"119 Quezon Ave., Angono, Rizal",Level 2/Secondary,451-0365
Medical Center Of Digos Cooperative Hosp.,"Canos Bldg., Digos City",Level 3/Tertiary,082-5536950
Melverey Maternity & General Hospital,"366 A. Vergel de Dios Street, Sitio Looban, Tabang, Plaridel, Bulacan, Philippines",Level 2/ Secondary,044-7952014
Paulino Hospital,"Rizal Avenue, Digos City",Level 2/Secondary,082-5538480
Sunga Hospital,"Digos, Davao del Sur",Level 2/Secondary,082-5533058
Ospital ng Baras,"80 Rizal St., Brgy. Mabini, Baras, Rizal",Level 1/Primary,515-5085
Bansalan Medical Hospital,"Rosal St., Bansalan",Level 1/Primary,920-8164539
Nodado General Hospital,"456 Bigte, Norzagaray, Bulacan, Philippines",Level 2/ Secondary,044-9385997/8150754
Ofelia Mendoza Maternity & General Hospital,"Mojon Road, Malolos City, Bulacan, Philippines",Level 2/ Secondary,044-6625060
"Centeno Medical Specialists Hospital, Inc","Bansalan, Davao del Sur",Level 1/Primary,0919-4557323
Pazzu Medical Clinic,"Tia Aldi St., Bansalan",Level 1/Primary,082-5539266
Pimentel Medical Clinic,"Bansalan, Davao del Sur",Level 1/Primary,0918-3771036
Viacrusis Medical Clinic,"Osmena St., Bansalan",Level 1/Primary,082-5539353
Zarsona Medical Clinic,"Bansalan, Davao del Sur",Level 1/Primary,09202517793
Bendijo Hospital,"Leling, Hagonoy, Davao del Sur",Level 1/Primary,
Padriguilan's Maternity & Medical Clinic,"Km 60 Mc Arthur Highway, Bancal, Meycauayan, Bulacan, Philippines",Level 1/ Primary,044-8406124
Clinica Rudinas And Hospital,"Poblacion, Hagonoy",Level 1/Primary,(082) 510-8079
J. Hagonoy Medical Clinic,"Hagonoy, Davao del Sur",Level 1/Primary,
Plaridel Emergency Hospital,"Gov. Padilla Road, Poblacion, Plaridel, Bulacan, Philippines",Level 2/ Secondary,044-7951236
E.B. Mercado Medical Clinic,"Kapatagan, Digos City",Level 1/Primary,0919-3220953
Clinica Pineda,"Malalag, Davao del Sur",Level 1/Primary,
R de C Galvez Medical Center,"Cagayan Valley Road, San Juan, San Ildefonso, Bulacan, Philippines",Level 2/ Secondary,045-6771305
Clinica Sta. Teresa,"Malalag, Davao del Sur",Level 1/Primary,
Golingay General Hospital,"Poblacion, Malalag",Level 1/Primary,
Saroma Hospital,"Malalag, Davao del Sur",Level 1/Priamry,
Estacion Medical Clinic And Hospital,"Malita, Davao del Sur",Level 1/Primary,0918-9159584
Fanlo Medical Clinic,"138 M. Peralta St., Poblacion, Malita",Level 1/Primary,
Sinawilan Clinic & Hospital,"Sinawilan, Matanao, Davao del Sur",Level 1/Primary,0919-5959177
Pag-Asa Hospital,"National Road, Pag-asa, Binangonan, Rizal",Level 2/Secondary,451-2180
"South Davao Medical Specialists Hospital, Inc.","Padada, Davao del Sur",Level 1/Primary,
